P_load1_MW,Q_load1_MVAr,P_load2_MW,Q_load2_MVAr,P_load4_MW,Q_load4_MVAr,P_solar_MW,Q_solar_MVAr,Vm_bus1_pu,Vm_bus2_pu,Vm_bus3_pu,Vm_bus4_pu,Va_bus1_deg,Va_bus2_deg,Va_bus3_deg,Va_bus4_deg,split
1.7250665,0.57502216,2.2794614,0.7978115,1.0550966,0.31652898,0.7649763,-0.011670987,0.9926896,0.98740387,0.9883974,0.9847303,0.09658992,0.17756793,0.18512543,0.20039837,train
1.7705724,0.5901908,1.894185,0.6629647,1.0982597,0.3294779,0.7949555,-0.13687861,0.9932226,0.9886669,0.989677,0.98588693,0.10213804,0.18872613,0.20596763,0.21253707,train
1.780577,0.59352565,2.222236,0.7777826,0.8334506,0.25003517,1.078268,-0.24059586,0.9935369,0.98937863,0.9907374,0.98727345,0.117787465,0.22307885,0.2508211,0.24044754,train
1.7706087,0.59020287,1.6167506,0.5658627,1.1464131,0.34392393,1.2994534,0.088811174,0.99448824,0.99144566,0.99314225,0.9885514,0.08222173,0.14451616,0.14965469,0.16933869,train
1.7767366,0.5922455,2.073129,0.7255951,0.84700745,0.25410223,0.69887435,-0.22267579,0.9931594,0.9885411,0.98941237,0.9863997,0.10874059,0.20321043,0.22597824,0.22094145,train
1.6365194,0.5455065,1.8585929,0.6505075,0.84722203,0.2541666,0.5300888,0.19574597,0.9935804,0.9891797,0.9899018,0.987039,0.060910095,0.100525625,0.09019073,0.11823537,train
1.7344939,0.57816464,1.6918201,0.59213704,1.0601554,0.31804663,0.5941946,0.0277589,0.9934041,0.9889912,0.9897684,0.98630905,0.07905239,0.13843584,0.14134586,0.16130657,train
1.7475654,0.5825218,2.2389736,0.78364074,1.0813777,0.32441333,0.32676458,-0.12081492,0.9919305,0.9857824,0.9861892,0.9830373,0.101571344,0.18819551,0.19975804,0.21175092,train
1.2707757,0.4235919,1.7316343,0.606072,1.0542481,0.31627443,0.6829495,-0.2564357,0.9942152,0.9898371,0.99068093,0.9871723,0.09828694,0.19158335,0.21666853,0.21426743,train
1.2983083,0.43276942,2.1334312,0.74670094,0.9608267,0.288248,0.32696432,-0.25157097,0.99305576,0.9873452,0.98772967,0.9849115,0.100986175,0.19712855,0.21851805,0.21767233,train
1.639892,0.5466307,1.8113726,0.6339804,0.9350528,0.28051585,0.70308316,0.15729502,0.99378014,0.98962545,0.9905649,0.98726285,0.06700532,0.113924906,0.10816463,0.13373837,train
1.2023753,0.40079176,2.2414784,0.78451747,1.0346783,0.3104035,0.60533625,0.15434171,0.9934521,0.98802024,0.9888339,0.9854003,0.068254374,0.12679058,0.12028438,0.1490937,train
1.3274575,0.44248587,1.8976777,0.6641872,1.192552,0.35776561,0.59405386,-0.20039044,0.99346346,0.98829985,0.9890391,0.98527884,0.09878519,0.1915073,0.21159263,0.21762545,train
1.7632654,0.58775514,2.0293765,0.7102818,1.1757587,0.35272762,0.52591825,-0.1443946,0.9924256,0.9869018,0.987563,0.98391926,0.10357664,0.19220157,0.2074561,0.21799313,train
1.6903632,0.5634544,2.3176272,0.81116956,0.87747806,0.26324344,1.3763474,-0.06729137,0.9939759,0.99015963,0.9919316,0.9879444,0.10619363,0.19943452,0.21702512,0.21783388,train
1.25476,0.41825333,1.940184,0.6790644,1.1479865,0.34439594,0.6407162,0.14657474,0.99374276,0.9887648,0.9896225,0.9858587,0.06599071,0.120544106,0.11497459,0.14555481,train
1.388142,0.462714,1.6568439,0.5798954,1.1623207,0.34869623,0.4709579,0.22616231,0.99371743,0.98897827,0.9896289,0.98603624,0.05355173,0.08994335,0.07674299,0.11528932,train
1.7253345,0.5751115,1.7919445,0.6271806,1.0648785,0.31946355,1.2174653,0.111486256,0.9942762,0.99088836,0.99248385,0.9881995,0.08060468,0.14200127,0.14465797,0.16488773,train
1.5794078,0.5264693,1.6175767,0.56615186,0.9972668,0.29918006,0.5333516,0.20478964,0.99384093,0.98963636,0.9903639,0.98711574,0.05645955,0.09197839,0.0810052,0.113295116,train
1.5646129,0.52153766,1.9688929,0.68911254,1.1033446,0.33100337,1.0830415,-0.24697477,0.9938819,0.98969954,0.991063,0.9869096,0.11340204,0.21830104,0.24654943,0.24217944,train
1.3760006,0.45866686,2.2479658,0.786788,0.8575285,0.25725856,1.1371791,0.1534963,0.9943202,0.9902791,0.9917788,0.9881148,0.075204924,0.13808648,0.13682352,0.15599942,train
1.333795,0.44459832,2.396801,0.83888036,1.0738941,0.32216823,1.0161153,-0.26751816,0.99347496,0.98833954,0.98961467,0.9856207,0.11848762,0.23498291,0.26420826,0.25822064,train
1.4871783,0.4957261,1.9289635,0.6751372,1.0232534,0.30697605,1.4902118,-0.19763851,0.9948924,0.99176306,0.9936573,0.98918205,0.11001728,0.21240927,0.2407679,0.23424827,train
1.4176072,0.47253573,2.027205,0.7095217,1.1958631,0.35875893,0.8015181,0.13494949,0.99349576,0.9885517,0.989616,0.985523,0.074621886,0.13592283,0.13278966,0.16210654,train
1.7555858,0.5851953,2.3579597,0.8252859,0.8489165,0.25467494,0.86603117,-0.20150743,0.9929809,0.9881066,0.98919857,0.9859594,0.11426033,0.2159526,0.23876897,0.23374791,train
1.2633933,0.42113107,1.8665233,0.6532832,0.9273465,0.27820396,0.43122402,-0.17292231,0.9938202,0.98895353,0.9894858,0.9866089,0.08821182,0.16952267,0.18593729,0.18918036,train
1.2107778,0.4035926,2.3479512,0.82178295,0.9757277,0.29271832,1.1209056,0.29964858,0.99423164,0.9897501,0.9912539,0.98728454,0.062297154,0.113340214,0.100959666,0.13413084,train
1.6757278,0.5585759,1.8645046,0.6525766,0.8060246,0.24180739,1.1189917,0.2949976,0.9945571,0.9914042,0.9929023,0.98937285,0.058884706,0.09510431,0.08309146,0.11173073,train
